# $Creator: Network Stumbler Version 0.4.0
# $Format: wi-scan summary with extensions
# Latitude	Longitude	( SSID )	Type	( BSSID )	Time (GMT)	[ SNR Sig Noise ]	# ( Name )	Flags	Channelbits	BcnIntvl	DataRate	LastChannel
# $DateGMT: 2004-10-15
N 0.0000000	E 0.0000000	( Chanse )	BSS	( 00:0f:3d:06:3a:73 )	15:12:34 (GMT)	[ 21 70 49 ]	# (  )	0431	00000040	100	540	6
N 0.0000000	E 0.0000000	( AIRG )	BSS	( 00:11:20:9c:44:60 )	15:12:34 (GMT)	[ 21 70 49 ]	# (  )	0021	00000002	100	540	1
N 0.0000000	E 0.0000000	( AIRG )	BSS	( 00:11:20:98:90:20 )	15:12:34 (GMT)	[ 36 85 49 ]	# (  )	0421	00000002	100	540	1
N 0.0000000	E 0.0000000	( AIRG )	BSS	( 00:11:20:a1:2f:30 )	15:12:34 (GMT)	[ 36 85 49 ]	# (  )	0021	00000800	100	540	11
N 0.0000000	E 0.0000000	( library )	ad-hoc	( 02:e0:e6:3a:e9:20 )	15:12:34 (GMT)	[ 24 73 49 ]	# (  )	0022	00000040	100	540	6
N 0.0000000	E 0.0000000	( AIRG )	BSS	( 00:11:20:a1:31:c0 )	15:12:34 (GMT)	[ 34 83 49 ]	# (  )	0021	00000040	100	540	6
N 0.0000000	E 0.0000000	( Library )	BSS	( 00:40:96:49:3c:9f )	15:12:34 (GMT)	[ 35 84 49 ]	# (  )	0021	00000100	100	110	8
N 0.0000000	E 0.0000000	( guest )	BSS	( 00:40:96:46:9e:47 )	15:12:35 (GMT)	[ 28 77 49 ]	# (  )	0021	00000010	100	110	4
N 0.0000000	E 0.0000000	( AIRG )	BSS	( 00:11:20:a4:57:d0 )	15:12:38 (GMT)	[ 31 80 49 ]	# (  )	0021	00000002	100	540	1
N 0.0000000	E 0.0000000	( hpsetup )	ad-hoc	( 66:48:a2:98:2d:51 )	15:12:51 (GMT)	[ 30 79 49 ]	# (  )	0002	00000800	100	110	11
N 0.0000000	E 0.0000000	( linksys )	BSS	( 00:06:25:7f:73:8b )	15:13:11 (GMT)	[ 34 83 49 ]	# (  )	0001	00000040	100	110	6
N 0.0000000	E 0.0000000	( AIRG )	BSS	( 00:11:20:a4:58:80 )	15:13:14 (GMT)	[ 33 82 49 ]	# (  )	0421	00000800	100	540	11
